DATE;TIME;A22_temp_zaplonu
11/03/2017;07:00:00;34.5
11/10/2017;07:00:00;31.5
11/17/2017;07:00:00;27
11/24/2017;07:00:00;30.5
12/08/2017;07:00:00;30
12/15/2017;07:00:00;39
