DR2.TI0447.PV              R21 DO T7
DR2.TI0448.PV              GPL DO Z-3
DR2.TI0449.PV              OPARY PO RK4AB
DR2.TI0450.PV              K-4 3POL
DR2.TI0482.PV              SZCZYT K-8
DR2.TI0483.PV              ZAS K-8
DR2.TI0487.PV              R23 PO RK-8
DR2.TI0488.PV              R23/21 DO R.POCHR DO MAG
DR2.TI0489.PV              R22 PROD
DR2.TI0489_BS_GAIN.PVR22 PROD - P_TAG
DR2.TI0489_BS_RESET.PVR22 PROD - I_TAG
DR2.TI0489_OP.PV        R22 PROD - CONTROL OUTPUT
DR2.TI0489_OUT_MODE.PVR22 PROD - MODE_TAG
DR2.TI0489_PREACTIM.PVR22 PROD - D_TAG
DR2.TI0489_SP.PV        R22 PROD - SETPOINT
DR2.TI0490.PV              R22 DO Z17 R22 I R21
DR2.TI0491.PV              OPARY Z RK-8
DR2.TI0492.PV              R21 DO K-8
DR2.TI0502.PV              PARA DO PC1 PRZEG
DR2.TI0503.PV              PARY PO PRZEGRZ. PC-1
DR2.TI0505.PV               GOP DO PC1/2
DR2.TI0508.PV              OOP DO PC-1
DR2.TI0511.PV              SPAL.MB12 WLOT
DR2.TI0513.PV               BYPAS PDS12 RURKI
DR2.TI0519.PV              POWIETRZA DO PC-1
DR2.TI0561.PV              WZM-CHW-1 WYLOT
DR2.TI0576.PV              WEJSCIE WODY OBIEGOWEJ
DR2.TI0581.PV              PARA ATOM
DR2.TI0582.PV              PRZEGRZEWACZ PARY PC-2
DR2.TI0583.PV              PARA Z PRZEG
DR2.TI0586.PV              OOP DO PC-2
DR2.TI0589.PV              SPY Z PDS-22
DR2.TI0591.PV              KOND. Z UKL. GRZEW.
DR2.TI0594.PV              POWIETRZA DO PC-2
DR2.TI0595.PV               PDS-22
DR2.TI0603.PV              WZM ZASIL
DR2.TI0606.PV              POW PIA ZAS
DR2.TI0608.PV              POR ZAS
DR2.TI0617.PV              Z29A
DR2.TI0625.PV              AZT ZAS
DR2.TI0870.PV              P-02A L.PROM
DR2.TI0871.PV              P-02A L.OPOR
DR2.TI0872.PV              P-02B L.PROM
DR2.TI0873.PV              P-02B L.OPOR
DR2.TI0874.PV              P-4A-L.PROM
DR2.TI0875.PV              P-4A-L.OPOR
DR2.TI0876.PV              P-4B-L.PROM
DR2.TI0877.PV              P-4B-L.OPOR
DR2.TI0878.PV              TEMPERATURA LOZYSKA
DR2.TI0879.PV              P-05B L.OPOR
DR2.TI0880.PV              TEMPERATURA LOZYSKA
DR2.TI0881.PV              TEMPERATURA LOZYSKA
DR2.TI0882.PV              TEMPERATURA LOZYSKA
DR2.TI0883.PV              TEMPERATURA LOZYSKA
DR2.TI0884.PV              TEMPERATURA LOZYSKA
DR2.TI0885.PV              TEMPERATURA LOZYSKA
DR2.TI0886.PV              TEMPERATURA LOZYSKA
DR2.TI0887.PV              TEMPERATURA LOZYSKA
DR2.TI0888.PV              P-18 L.PROM
DR2.TI0889.PV              P-18 L.OPOR
DR2.TI0890.PV              TEMPERATURA LOZYSKA
DR2.TI0891.PV              TEMPERATURA LOZYSKA
DR2.TI0892.PV              TEMPERATURA LOZYSKA
DR2.TI0893.PV              TEMPERATURA LOZYSKA
DR2.TI0894.PV              P-32A L.PROM
DR2.TI0895.PV              P-32A L.OPOR
DR2.TI0896.PV              P-32B L.PROM
DR2.TI0897.PV              P-32B L.OPOR
DR2.TI0898.PV              TEMPERATURA LOZYSKA
DR2.TI0899.PV              TEMPERATURA LOZYSKA
DR2.TI0900.PV              TEMPERATURA LOZYSKA
DR2.TI0970.PV              TEMPERATURA LOZYSKA
DR2.TI0971.PV              TEMPERATURA LOZYSKA
DR2.TI0972.PV              P-63A L.PROM
DR2.TI0973.PV              P-63A L.OPOR
